PARTICLE_ID,R,G,B,X,Y,Z,VX,VY,VZ,M,RAD,REST,TEMP,COMPLEXITY,COMPLEXITY_SIZE,COMPLEXITY_N
51,1,1,1,-95.7381,-34.8022,0,-159.761,-0.0871179,0,1.875e+14,0.75,0.2,1.23228e+19,moon1,1,1
52,1,1,1,-45.3134,4.51406,0,-17.6984,-128.376,0,1.875e+14,0.75,0.2,1.19252e+19,moon1,1,1
53,1,1,1,-54.7759,9.75366,0,68.3179,26.1873,0,1.875e+14,0.75,0.2,5.47412e+18,moon1,1,1
54,1,1,1,-94.0557,-28.1376,0,38.1924,-50.5886,0,1.875e+14,0.75,0.2,9.37084e+18,moon1,1,1
55,1,1,1,-53.4244,14.7709,0,150.19,3.12106,0,1.875e+14,0.75,0.2,7.64534e+18,moon1,1,1
57,1,1,1,-93.1444,-34.9505,0,-163.507,-77.2465,0,1.875e+14,0.75,0.2,1.02725e+19,moon1,1,1
58,1,1,1,594.428,136.662,0,341.241,12.092,0,1.875e+14,0.75,0.2,4.13111e+18,moon1,1,1
59,1,1,1,-52.6519,11.8721,0,102.782,-8.58496,0,1.875e+14,0.75,0.2,1.37936e+19,moon1,1,1
60,1,1,1,-48.3069,10.7017,0,82.9264,-80.1092,0,1.875e+14,0.75,0.2,1.79798e+19,moon1,1,1
61,1,1,1,-92.8873,-30.4581,0,-30.8275,-84.541,0,1.875e+14,0.75,0.2,1.20081e+19,moon1,1,1
62,1,1,1,-47.2449,11.7609,0,100.786,-97.601,0,1.875e+14,0.75,0.2,1.19784e+19,moon1,1,1
63,1,1,1,-56.9969,13.0426,0,122.033,62.3614,0,1.875e+14,0.75,0.2,9.74546e+18,moon1,1,1
64,1,1,1,-91.8903,-35.7735,0,-187.331,-114.366,0,1.875e+14,0.75,0.2,1.55206e+19,moon1,1,1
65,1,1,1,-94.3128,-32.6301,0,-94.9168,-42.8512,0,1.875e+14,0.75,0.2,1.25782e+19,moon1,1,1
66,1,1,1,-53.0382,13.3215,0,125.643,-2.3219,0,1.875e+14,0.75,0.2,1.03094e+19,moon1,1,1
67,1,1,1,590.787,132.663,0,257.148,89.1693,0,1.875e+14,0.75,0.2,3.84108e+18,moon1,1,1
68,1,1,1,595.213,135.384,0,314.062,-4.47038,0,1.875e+14,0.75,0.2,3.30706e+18,moon1,1,1
69,1,1,1,-96.9065,-32.4818,0,-90.2764,34.5936,0,1.875e+14,0.75,0.2,1.95264e+19,moon1,1,1
70,1,1,1,-102.008,-30.6874,0,-37.0207,184.699,0,1.875e+14,0.75,0.2,9.32773e+18,moon1,1,1
71,1,1,1,-93.3157,-37.9457,0,-252.22,-72.4078,0,1.875e+14,0.75,0.2,8.95006e+18,moon1,1,1
72,1,1,1,-98.2462,-33.1563,0,-110.296,73.6977,0,1.875e+14,0.75,0.2,1.34775e+19,moon1,1,1
73,1,1,1,-54.0034,6.8549,0,21.0061,13.1241,0,1.875e+14,0.75,0.2,1.65976e+19,moon1,1,1
74,1,1,1,-98.4176,-36.1513,0,-199.014,78.8375,0,1.875e+14,0.75,0.2,1.71228e+19,moon1,1,1
75,1,1,1,-99.843,-38.3234,0,-263.227,121.029,0,1.875e+14,0.75,0.2,7.55904e+18,moon1,1,1
78,1,1,1,-52.9413,7.91415,0,37.8811,-4.05532,0,1.875e+14,0.75,0.2,2.0699e+19,moon1,1,1
80,1,1,1,-55.5486,12.6525,0,115.466,38.3994,0,1.875e+14,0.75,0.2,1.11284e+19,moon1,1,1
81,1,1,1,-98.0749,-30.1612,0,-20.7408,67.9583,0,1.875e+14,0.75,0.2,1.35729e+19,moon1,1,1
82,1,1,1,-91.8046,-34.276,0,-143.287,-116.937,0,1.875e+14,0.75,0.2,1.56036e+19,moon1,1,1
83,1,1,1,-46.4722,8.8622,0,52.846,-109.602,0,1.875e+14,0.75,0.2,1.16743e+19,moon1,1,1
84,1,1,1,-89.0395,-31.4294,0,-59.5815,-198.885,0,1.875e+14,0.75,0.2,1.10793e+19,moon1,1,1
85,1,1,1,-300.285,-310.154,0,-145.979,-113.173,0,1.875e+14,0.75,0.2,3.69413e+17,moon1,1,1
86,1,1,1,-95.8238,-36.2997,0,-203.549,2.38422,0,1.875e+14,0.75,0.2,2.39204e+19,moon1,1,1
87,1,1,1,-50.7205,4.62531,0,-16.3716,-40.1283,0,1.875e+14,0.75,0.2,1.33286e+19,moon1,1,1
